name,slug,quantity,price,sale_price,in_stock_sheet,in_price_sheet
"Hair Bow","hair-bow",0,15,15,false,true
"hair1","h",0,0,,false,false
"hair21","hair21",0,0,,false,false
"hair3","hair3",0,0,,false,false
"hair4","hair4",0,0,,false,false
"hair5","hair5",0,0,,false,false
"Hausess Straightener","hausess-straightener",0,280,199,false,true
"Home Services Bag Small","home-services-bag-small",0,150,130,false,true
"hot melt glue gun ","hot-melt-glue-gun",0,0,,false,false
"Kelo Rollers","kelo-rollers",23,0,,true,false
"Keratin Nutrition Moisturizing Shampoo","keratin-nutrition-moisturizing",0,0,,false,false
"Kuura Conditioner Long","kuura-conditioner-long",6,0,,true,false
"Kuura Fro Conditioner","kuura-fro-conditioner",0,65,60,false,true
"Kuura Fro Leave In Conditioner","kuura-fro-leave-in-conditioner",0,70,65,false,true
"Kuura Honey & Papaya No Breakage Hair","kuura-honey-papaya-no-breakage-hair",60,0,,true,false
"Kuura honey and papaya Conditioner ","kuura-beauty-moisture-seal-conditioner",26,0,,true,false
"Kuura honey and papaya shampoo","j",1,0,,true,false
"Lavera 4-in-1 Men's Perfume Set","lavera-4-in-1-men-s-perfume-set",0,0,,false,false
"leopard print headband","leopard-print-headband",0,0,,false,false
"Magik branded soak-off UV gel polish kit","magik-branded-soak-off-uv-gel-polish-kit",6,0,,true,false
"MAGK branded UV gel nail polish","magk-branded-uv-gel-nail-polish",0,0,,false,false
"Manicure Brush Big","manicure-brush-big",78,0,,true,false
"Mannequin Bowl Big","mannequin-bowl-big",0,7,7,false,true
"Mannequin Foot","mannequin-foot",0,60,50,false,true
"Mannequin Head","mannequin-head",10,0,,true,false
"Mesh Dome Cap","mesh-dome-cap",100,0,,false,false
"Misscheering Acrylic Kit","misscheering-acrylic-kit",0,95,80,false,true
"Misscheering Dipping Powder Kit","misscheering-dipping-powder-kit",13,0,,true,false
"Muscheering Brush Cleaner","muscheering-brush-cleaner",14,0,,true,false
"Muscheering Top Coat and Base Coat UV Gel ","muscheering-top-coat-and-base-coat-uv-gel",101,0,,true,false
"Mxbon Pro's Choice Brush","mxbon-pro-s-choice-brush",0,0,,false,false
"N.O.B Beauty Espresso Face Mist","n-o-b-beauty-espresso-face-mist",0,0,,false,false
"Nail Art 3-Piece Mini Powder & Liquid Set","nail-art-3-piece-mini-powder-liquid-set",0,0,,false,false
"Nail gel polish kit","nail-gel-polish-kit",0,0,,false,false
"nail manicure arm rest cushion-long leg","nail-manicure-arm-rest-cushion",0,0,,false,false
"nail manicure hand rest cushion -short leg","nail-salon-hand-rest-cushion",0,0,,false,false
"Nails Wipe","nails-wipe",0,25,20,false,true
"Nutrition Olive Oil hair bleaching powder","nutrition-olive-oil-hair-bleaching-powder",0,0,,false,false
"Olive Bleach Powder","olive-bleach-powder",0,45,40,false,true
"Olive Oil Conditioner","olive-oil-conditioner",0,60,50,false,true
"Olive Oil sheen spray","ors-olive-oil",0,0,,false,false
"olorful jumbo plastic straws","olorful-jumbo-plastic-straws",0,0,,false,false
"Ombre Brush","ombre-brush",2,0,,true,false
"Original ORS Olive Oil Nourishing Sheen Spray","ors-olive-oil-nourishing-sheen-spray-2",0,0,,false,false
"ORS Nourishing Conditioner","korres-pure-greek-olive-3-in-1-nourishing-oil",40,65,,true,false
"ORS Olive Oil Edge Control Hair Gel","ors-olive-oil-edge-control-hair-gel",0,0,,false,false
"ORS Olive Oil Hold & Shine Wrap/Set Mousse","ors-olive-oil-hold-shine-wrap-set-mousse",0,0,,false,false
"ORS Olive Sheen Small","ors-olive-sheen-small",0,38,25,false,true
"Packaging Net Large","packaging-net-large",62,0,,false,false
"Packaging Net Medium","packaging-net-medium",70,0,,false,false
"Packaging Net Small","packaging-net-small",0,0,,false,false
"Packaging Net XL","packaging-net-xl",47,0,,false,false
"Parting Ring","parting-ring",39,10,,true,false
"Pearl Stand","pearl-stand",0,25,20,false,false
"Phone Grip","self-adhesive-black-rubber-bumper-pads",0,0,,false,false
"Pink Arm Rest","pink-arm-rest",0,180,160,false,true
"Pink Liner Brush","pink-liner-brush",25,0,,true,false
"Pinkee's Pro Acrylic Liquid","pinkee-s-pro-acrylic-liquid-3",0,0,,false,false
"Pinky Shares","pinky-shares",0,50,45,false,true
"Portable Electric Drill","portable-electric-drill",0,300,270,false,true
"Practice foot","silicone-mannequin-foot",0,0,,false,false
"Professional Argan Oil Nourishing Hair Mask","professional-argan-oil-nourishing-hair-mask",17,0,,true,false
"Push Bottle Dispenser","push-bottle-dispenser",0,10,10,false,true
"Q Monomer acrylic nail liquid","q-monomer-acrylic-nail-liquid",0,0,,false,false
"rainbow-colored striped glass candy jar","rainbow-colored-striped-glass-candy-jar",0,0,,false,false
"Refill Nails","refill-nails",15,0,,false,false
"Reusable keeper ","generic-purple-plastic-soak-off-nail-polish-remover",2,0,,true,false
"Rosalind Base Coat nail polish","rosalind-base-coat-nail-polish",0,0,,false,false
"Rosalind Nail Dehydrator and Nail Primer set","rosalind-nail-dehydrator-and-nail-primer-set",0,0,,false,false
"Royal Dignity 4-in-1 perfume gift set ","royal-dignity-4-in-1-perfume-gift-set",0,0,,false,false
"Sabalon","sabalon",17,0,,true,false
"Schwarzkopf Got2b Glued Water Resistant Spiking Glue","schwarzkopf-got2b-glued-water-resistant-spiking-glue",0,0,,false,false
"shelf of assorted professional hair care bottles ","shelf-of-assorted-professional-hair-care-bottles",0,0,,false,false
"Silicon Mix Hydrating Shampoo","avanti-silicon-mix-hydrating-shampoo",13,0,,false,false
"Silicon Mix Shampoo Big","silicon-mix-shampoo-big",0,195,170,false,true
"Silicon Mix Shampoo Medium","silicon-mix-shampoo-medium",0,120,100,false,true
"Silicon Mix Shampoo Small","silicon-mix-shampoo-small",0,85,75,false,true
"stainless steel pinking ","stainless-steel-pinking",80,0,,true,false
"Stylist Bag","stylist-bag",0,300,299,false,true
"Table Organizer","table-organizer",0,40,35,false,true
"transparent plastic storage container ","transparent-plastic-storage-container",0,0,,false,false
"TRESemmé Rich Moisture Conditioner","tresemm-rich-moisture-conditioner",1,0,,true,false
"Trolley","trolley",5,0,,true,false
"U-Clips","u-clips",0,15,12,false,true
"U-Shape Arm Rest","u-shape-arm-rest",0,250,220,false,true
"U-Shaped arm rest","jaon-quality-nail-hand-pillow",0,0,,false,false
"UOMI brand professional makeup palette","uomi-brand-professional-makeup-palette",0,0,,false,false
"Velcro Rollers","velcro-rollers",0,55,45,false,true
"Very Good Nail International Color gel ","very-good-nail-international-color-gel",0,0,,false,false
"Wide Knife Comb","wide-knife-comb",0,5,5,false,true
"wide-tooth rake comb ","wide-tooth-rake-comb",108,0,,true,false
"Wig Clips","wig-clips",0,10,8,false,true
"Wig Combs","wig-combs",0,15,10,false,true
"Wig Fix Stick","wig-fix-stick",0,25,20,false,false
"Wrefn Toshn CombL","wrefn-toshn-combl",195,0,,true,false
"wrefN&B lace tint spray in the Espresso shade","wrefn-b-lace-tint-spray-in-the-espresso-shade",0,0,,false,false
"XHC Argan Oil Hydrating Hair Mask","xhc-argan-oil-hydrating-hair-mask",14,0,,true,false
